variable,count,mean,median,variance,standard_deviation,minimum,maximum,range,q1,q2,q3,iqr,skewness
study_hours_week,300,12.325333333333331,12.43,27.80975473801561,5.273495495211464,0.0,28.27,28.27,8.7775,12.43,15.2875,-6.51,0.1218885200299765
attendance_rate,300,85.33413333333333,85.49000000000001,93.17451998216276,9.652694959552113,58.53,100.0,41.47,79.2725,85.49000000000001,92.60249999999999,-13.329999999999998,-0.34054101404684206
midterm_score,300,31.307666666666663,31.72,117.27810958751394,10.829501816220077,1.3,59.83,58.53,24.18,31.72,38.09,-13.910000000000004,-0.07432506100139463
final_score,300,36.339000000000006,37.735,170.37898227424748,13.052930026405852,2.16,67.41,65.25,27.495,37.735,45.17,-17.675,-0.18226681201597056
